"PRODUCT_NAME","Avg_Cost"
"CARBI/LEVO",145.43
"DEXAMETHA",145.26
"PAZEO",145
"DIFFERIN G",145
"RALOXIFENE",144.95
"YUVAFEM (E",144
"FLUOCINONI",143.9
"ERYTH BASE",143.75
"TROSPIUM C",143.54
"NIFEDICAL",143.25
"NITROGLYCE",143.15
"NIACIN EXT",143.09
"HI-TECH AC",143
"CHLORPROMA",142.51
"APAP ARTHR",142.5
"WARFARIN 3",142.14
"SM EYE LUB",142
"LICE AID S",141.5
"NPLATE (RO",141.5
"PODOFILOX",141.5
"MINTOX PLU",141.5
"BENAZEPRIL",141.17
"REXULTI 3.",141
"MULTAQ 400",141
"COLD & ALL",141
"ESTRACE 42",140.5
"DILANTIN 1",140.4
"ZOMACTON 1",140
"BYDUREON 2",140
"VALPROIC 2",140
"LARIN 1/20",140
"OLOPATADIN",139.77
"NADOLOL 20",139.67
"CARBAMZEPI",139.5
"ROSUVASTAT",139.11
"PHOSPHA 25",139
"ANTACID CH",139
"LUTERA   (",138
"JENCYCLA",138
"CONCERTA 3",138
"STIOLTO RE",138
"DIASTAT AC",138
"FLUPHENAZI",137.83
"ATOVAQUONE",137.67
"NEXIUM 40M",137.67
"GEL, METRO",137
"LETAIRIS 1",137
"ESTRADIOL",136.84
"VELIVET TA",136.67
"RAMIPRIL C",136.63
"ROZEREM (R",136.5
"DALIRESP 5",136.5
"ZUBSOLV 2.",136.5
"CHOLESTYRA",136.38
"SPS SUSPEN",136.2
"SOLUBLE FI",136
"GLATIRAMER",136
"VIMPAT ORA",135.75
"KEPPRA 750",135.5
"HABITROL N",135.17
"AMOCLAN OR",135
"PEDIATRIC",135
"EAR WAX RE",135
"DONABINOL",134.5
"DIGOXIN TA",134.5
"BETAMETHAS",134.08
"QUELICIN(S",134
"OXYCONTIN",133.81
"PRASUGREL",133.5
"TRI-VITAMI",133.25
"AMINOPHYLL",133.17
"BYSTOLIC 5",133.17
"ANTACID W/",133
"LAMICTAL T",132.5
"AZURETTE T",132.33
"DIGITEK (D",132
"REG STRNT",132
"LAXATIVE S",131.75
"HYDRO PLUS",131.5
"DOK PLUS T",131.5
"GENTEAL EY",131.5
"ZIPRASIDON",131.47
"SM NICOT T",130
"ENDOCET, 5",130
"REGULOID C",130
"ATROPINE S",129.82
"ZOVIRAX CR",129.5
"DIAZEPAM 2",129.14
"LILETTA 52",129
"WARFARIN 1",129
"GRISEOFULV",128.69
"DRO+ETHIN+",128.67
"DIURIL ORA",128.5
"ABACAVIR S",128.17
"SETLAKIN 0",128
"NUCYNTA 50",127.5
"REPATHA (E",127.5
"SM CHILD P",126.86
"PHENYTOIN",126.64
"DIHYDROERG",126.6
"TROSPIUM U",126.5
"COSENTYX S",126.33
"SILVER SUL",126.25
"LEFLUNOMID",126.13
"KEPPRA XR",126
"ETODOLAC T",126
"METHERGINE",125.75
"HCTZ- TABS",125.57
"ACARBOSE 5",125.5
"INFED (IRO",125.5
"DIGOXIN 0.",125.38
"RISPERDAL",125.26
"SAVELLA 10",125
"MIBELAS  2",125
"ORENCIA SC",124.75
"PIOGLITAZO",124.58
"VALU-DRYL",124
"CLEOCIN VA",123.5
"JOLESSA TA",123.5
"TYSABRI (N",123.5
"BENLYSTA L",123.5
"ORTHO TRI-",123.4
"TRILEPTAL",123.38
"MAXIMUM ST",123.08
"NEXPLANON",123
"GLATOPA 20",123
"SODIUM FER",123
"SAPHRIS 5",122.75
"NAPROXEN O",122.5
"GLIMEPIRAD",122.5
"URSODIOL 3",122.4
"GUIATUSSIN",122
"BICILLIN L",121.92
"IFEREX 150",121.67
"DESETHEST",121.25
"TESTOSTERO",121.13
"LIOTHYRONI",121.05
"GOOD NEIGH",120.8
"ANDROGEL 1",120.63
"INTUNIV 4M",120.5
"APTIOM 600",120.5
"LAMICTAL 2",120
"JUBLIA TOP",120
"KLOR-CON 1",119.93
"MINOCYCLIN",119.69
"TUSSIN DM",118.96
"ACARBOSE T",118.92
"NICORELIEF",118.81
"LARIN 24 F",118.67
"PNV 29-1 T",118
"OPDIVO",117.33
"JUNEL FE-2",117.33
"SENNALAX-S",117
"DESMOPRESS",116.46
"LANSOPRAZO",116.14
"SENNA S TA",116
"NORTREL 7/",116
"HYDORCODON",115.5
"ATHLETE'S",115
"ACYCLOVIR",114.8
"DRL CETIRI",114.5
"DEXMETHYPH",114
"ZALEPLON C",113.75
"VIIBRYD 10",112.5
"VRAYLAR (C",112.5
"ARIPRPRAZO",112.43
"FLECTOR",112.33
"TRIAM/HCT",112.29
"PROGESTERO",112.15
"REACT",112
"COSOPT PF",112
"ALFUZOSIN",111.96
"FLUORIDE C",111.67
"CALCIPOTIE",111.5
"RIFAMPIN",111.5
"DOXY MONO",111.29
"THIAMINE H",111
"DEXMETHYLP",109.73
"PYRIDOXINE",109.5
"ZEPATIER 1",109.5
"FINACEA FO",109
"ZUBSOLV 11",109
"ECPIRIN",108.5
"GENTEAL TE",108.43
"NOXAFIL 10",108
"HM FEXOFEN",107
"DICLOXACIL",106.71
"VENLAXAFIN",106.5
"CLARAVIS C",106.38
"HEPARIN SO",106.37
"WERA 0.5MG",106
"GNP GUAIFE",106
"NARATRIPTA",106
"STELARA 45",106
"ZALEPLON 1",106
"POVIDINE S",106
"VELPHORO",106
"SODIUM CL",105.56
"CLOPITOGRE",105.5
"ABREVA COL",105.5
"TRIHEXYPHE",105.14
"DIAZEPAM R",105.09
"Q-TAPP ELI",105
"NOR - BE 0",105
"TAMIFLU 30",105
"REXULTI 4.",105
"ZEASORB-AT",105
"COLCRYS 0.",105
"PERPHENAZI",104.06
"NICOTROL N",104
"ANTACID PL",104
"CARBA SUSP",104
"LEVORPHANO",104
"GENERLAC S",103.5
"PSEUDOPHED",103.5
"LOSARTAN 2",103.5
"WARFARIN 7",103.17
"BROVANA",103
"INTUNIV 3M",103
"HYDRO LOT",103
"THEO-24 20",103
"ACETIC ACI",102.92
"GNP IBUPRO",102.63
"REFRESH PM",102.5
"GENTAK OIN",102.5
"CAMRESE (T",102.5
"TOVIAZ (FE",102.25
"LOVASTATIN",102.11
"ZYTIGA 250",102
"RENVELA TA",102
"WARFARIN 6",101.88
"CREON 6,00",101.25
"SODIUM CIT",101
"REFRESH LI",101
"COLD AND A",100.83
"NORTREL TA",100.8
"AVONEX PRE",100.5
"INTUNIV 2M",100.5
"8-HOUR ACE",100
"MASANTI",100
"PREMIER VE",99.5
"FENTANYL T",99.45
"REPAGLINID",99.12
"ABACAVIR 3",99
"BUTAL/APAP",98.7
"SOLU MEDRO",98.67
"AMOCLAN 20",98.5
"MOVIPREP",98
"CIALIS",97.67
"MIMVEY TAB",97
"ACARBOSE 1",97
"NADOLOL 40",96.64
"FLUTICA/SA",96.5
"AMIODARONE",96.33
"AURYXIA OR",96
"DIGOXIN 25",96
"TRIAM/HTZ",95.67
"WARFARIN 2",95.12
"METOLAZONE",95.04
"FOSAMPRENA",95
"QVAR BA IN",94.75
"TRANEXAMIC",94.56
"ZUBSOLV 1.",94.5
"FENTANYL R",94.5
"TRISENOX (",94.5
"CAMBIA",94.33
"ZOMIG 5MG",94.33
"UCERIS 9MG",94
"ORPHEN CIT",94
"NEXIUM FOR",93.89
"LEVAL HCL",93.63
"FENTANYL C",93.58
"METHLYPHEN",93
"KIONEX SOD",93
"NITCOTINE",93
"CAPSAICIN",93
"PHENOBARBI",92.6
"VIGABATRIN",92.5
"ASPIRIN 32",92.5
"CATHFLO AC",92.5
"PEG3350 PO",92.25
"CONCERTA 5",92
"ATOVAQ/PRO",91.67
"EMOQUETTE",91.25
"NUTROPIN A",91.17
"CARBATROL",91.17
"ABRAXANE 1",91
"BUSIPRONE",91
"VOL-PLUS",90.5
"PRAZOSIN 5",90.5
"CLOBETASOL",90.09
"XTANDI 40M",90
"MAPAP 80MG",90
"KEPPRA 250",90
"GYCOPYRROL",89.5
"LACTATED R",89.19
"SOTALOL TA",89.14
"ISIBLOOM 0",89
"TOPAMAX TA",89
"AMANTADINE",88.92
"OXTELLAR X",88.67
"COLESTIPOL",88.5
"AGGRENOX(A",88.5
"SULINDAC 2",88.36
"IBANDRONAT",88.25
"EXTENDED P",88
"METHYPHENI",88
"DEPAKOTE E",88
"ZAFIRLUKAS",87.67
"SULFACETAM",87.35
"EPANED (EN",87.25
"IBRANCE (P",87.17
"ZOMETA VIA",87
"GLUCAGEN",87
"VERAPAMIL",86.82
"ROPINIROLE",86.79
"PREMARIN N",86.75
"PYRIDOSTIG",86.69
"HEALTHYLAX",86.67
"HARVONI  (",86.5
"DEXA INT .",86.5
"ETODOLAC 5",86.29
"ASTAGRAF X",86.25
"MILK OF MA",86.23
"DONEPEZIL",86.16
"INFANTS' C",86
"PAIN REIEV",86
"CATAPRES-T",85.8
"SOLIQUA 10",85.5
"DAPSONE 10",85.5
"LIVALO",85.5
"MUCINEX D",85.5
"AACETAMINP",85
"LEXAPRO 20",85
"SOLU-MEDRO",85
"DOXEPIN HY",85
"LEVONEST T",84.67
"CARNITOR I",84.5
"HYDROMORPH",84.31
"SYSTANE UN",84
"INDOMETHAC",83.79
"NECON 7/7/",83.5
"FLEET ENEM",83.5
"ALL DAY AL",83.4
"ALIMTA",83.25
"KOMBIGLYZE",82.8
"TAGRISSO 8",82.5
"ADDERALL E",82
"PREDNISON",82
"DUEXIS (IB",81.5
"EFAVIRENZ",81.25
"CARISOPROD",81.14
"AMBIEN 10M",81
"SYSTANE NI",81
"EYE DROPS",81
"CEFTIN ORA",80.8
"VESTURA (D",80.5
"DOXAZOSIN",80.38
"0.9% SOD C",80
"LILETTA (L",80
"GLIPIZIDE-",79.86
"CLINDAMY/B",79.83
"DILTIAZEM",79.6
"GLYCOPYRRO",79.58
"PRALUENT 7",79.5
"TRIVORA  T",79
"ORPHEN/CIT",79
"RIZATRIPTA",78.95
"ACARBOSE 2",78.8
"LEFLINOMID",78.67
"NORETHESTC",78.5
"ASPIRIN EN",78.5
"CRESTOR 10",78.5
"MASANTI II",78
"ACTEMRA  8",78
"HYPERRHO S",78
"VIGAMOX",78
"TOLNAFTATE",77.93
"NYSTATIN &",77.83
"PALIPERIDO",77.83
"CALCITONIN",77.8
"RAPAFLO 8",77.75
"MYTAB GAS",77.5
"MICONAZOLE",77.44
"ETHOSUXIMI",77.14
"GRALISE (G",77
"ISMN ER 12",77
"TEMAZEPAM",76.96
"DYMISTA",76.5
"VIRACEPT 6",76.5
"LDR 8HR MS",76.5
"LEVALBUTER",76.4
"OXYCODONE/",76.36
"CHLORDIAZE",76.33
"PROGRAF 1M",76.33
"LDR ASPIRI",76.33
"MORPHINE S",76.32
"ANTACID FA",76
"SKYLA",76
"DILANTIN 3",76
"CELECOXIB",75.84
"TAYTULLA 1",75.5
"ERBITUX",75.5
"SM FEXOFEN",75.25
"NADOLOL (2",75
"LITHIUM 8",75
"ZOVIA  1/3",75
"SUDOGEST P",74.5
"NUCYNTA 10",74.5
"MEGESTROL",74.43
"LEXAPRO 10",74
"PENTASA 25",74
"DESVENLAFA",73.98
"ENOXAPARIN",73.87
"CYCLAFEM 1",73.75
"ERYPED 200",73.5
"ZOLPIDEM E",73.11
"BUMETANIDE",73.1
"VALGANCICL",73.09
"OSPHENA (O",73
"JULUCA 50M",73
"SENNOSIDES",72.67
"SIROLIMUS",72.67
"PIRMELLA",72
"DEXTROMETH",71.67
"VOSEVI 400",71.5
"ABILIFY",71.46
"LDR ADULT",71.2
"BEVESPI AE",71
"PIOGLIT+ME",71
"EPZICOM TA",71
"INTUNIV 1M",70.5
"THEO-24 30",70
"PANOXYL AC",70
"GNP ANTI-D",70
"LUPRON DEP",70
"BYSTOLIC 2",69.83
"POLYCIN (B",69.5
"XOPENEX HF",69.5
"PROVIL",69
"NON-STAINI",69
"PROCTO-PAK",69
"ANTACID LI",69
"BYETTA 250",68.75
"ECONAZOLE",68.63
"ECPIRIN (B",68.5
"VR CHILD'S",68.5
"CEFPROZIL",68.48
"CYMBALTA",68.25
"BYDUREON B",68
"DASETTA 7/",68
"ANTI-DIARR",67.95
"RECLIPSEN",67.67
"ENDOCET 7.",67.5
"LIALDA 1.2",67.5
"HEPARIN 50",67.5
"JADENU FCT",67.33
"FENTANYL P",67.1
"OXYCODONE-",67
"WYMZYA FE",67
"ILARIS VIA",67
"CLEARATADI",66.75
"FETZIMA 40",66
"BELSOMRA 2",66
"SENNA PLUS",65.82
"VALACYCLOF",65.5
"URSODIOL T",65.43
"TERAZOSIN",65.38
"CRESTOR 40",65
"HM CLEARLA",65
"YAZ",65
"FAMCILCOVI",65
"KALYDECO (",65
"TILIA  FE",65
"TRILYTE WI",65
"PREVALITE",64.75
"LICE TREAT",64.75
"ARISTADA 6",64.67
"FLUOCINOLO",64.67
"ASPIRIN AN",64.67
"METHYPLHEN",64
"MIRTAZIPIN",64
"FETZIMA 80",64
"MUCINEX CH",64
"INDAPAMIDE",63.58
"SABRIL PAC",63.5
"AMIKACIN 5",63.5
"KURVELO",63.5
"OZURDEX",63.5
"TUSSIN EXP",63.5
"CIMZIA",63.5
"MINASTRIN",63.5
"MONUROL",63.5
"QNASL AERO",63.5
"SUSTIVA",63.17
"VIRT-PHOS",63
"MAPAP (ACE",63
"VITAMIN D3",63
"PAIN/FEVER",63
"CEFTRIAXON",62.72
"HALAVEN",62.5
"ENULOSE(LA",62.5
"METAXALONE",62.35
"EMVERM",62
"CRINONE 8%",62
"TRIPLE ANI",62
"RITALIN LA",62
"PROMETH/VC",62
"BION TEARS",62
"MANNITOL 2",62
"KLOR-CON S",62
"CORVITA 15",62
"IMATINIB M",61.88
"EPINASTINE",61.71
"FENOPROFEN",61.5
"SM APIRIN",61.5
"SYEDA 3MG/",61.5
"REXULTI 0.",61.5
"JANTOVEN 5",61.4
"CUBICIN RF",61.33
"CLOMIPRAMI",61.19
"MORHPINE S",61
"SM FEXODEN",61
"KAITLIB  F",60.5
"APTIOM 200",60.5
"MYFORTIC T",60.5
"BIKTARVY",60
"GNP LANSOP",60
"TRETINION",60
"FOCALIN XR",59.88
"CAMRESE LO",59.67
"ZONEGRAN C",59.5
"COPAXONE (",59.5
"TRIFLURIDI",59.33
"LUCENTIS R",59
"FENTANYL M",59
"LDR P/FVR",59
"SIMPONI AR",59
"RHOGAM ULT",58.83
"HCTZ- CAPS",58.75
"QUASENSE T",58.5
"CICLPPIROX",58.5
"AMILORIDE",58.42
"TRANSDERM",58.42
"PROTONIX F",58.33
"LUCENTIS 0",58.25
"ARISTADA 8",58.25
"LOTEMAX OP",58.25
"CHERRATUSS",58
"REBIF (INT",58
"FML FORTE",58
"DEPAKOTE 5",58
"NADOLOL  8",58
"SYNJARDY 1",57.67
"CIPRO HC O",57.5
"DIFLUNISAL",57.11
"QUINAPRIL",57
"FUSILEV, 5",57
"PILOCARPIN",57
"XELODA 500",56.5
"OPSUMIT (M",56.5
"PENTOXIFYL",56.31
"GLASSIA",56
"AMLOD/BENA",56
"VITAMINS A",56
"FLUOROURAC",55.67
"VINBLASTIN",55.5
"NEOMYCIN S",55
"DEPO-TESTO",55
"DAPTOMYCIN",54.67
"TRIANTEREN",54.67
"NASAL RELI",54.5
"PREMPRO CO",54.5
"LAMICTAL X",54.38
"SM STOOL S",54.38
"LAMIVUDINE",54.27
"ANASTRAZOL",54.17
"SEBEX SHAM",54
"TRAMADOL-A",54
"COMPRO (PR",54
"ETODOLAC 3",54
"DAYTRANA 3",54
"ASPIRIN",54
"FERRAPLUS",54
"HEALTHMART",53.33
"ORIGINAL S",53.2
"HYDROQUINO",53
"TOBRADEX",53
"MICONAZORB",53
"EPIDUO FOR",53
"APAP/CODEI",52.89
"GOLYTELY P",52.5
"NYSTATIN",52.5
"CORLANOR (",52.4
"INVEGA TRI",52.38
"TRIMETHOBE",52.33
"CYCLOSPORI",52.29
"BALSALAZID",52.17
"DIPHEN 2%",52
"BETHAPRIM",52
"PAIN RELIE",51.71
"SIMPONI 50",51.67
"NACL 0.9%",51.67
"MEMANTINE",51.6
"BROVANA (A",51.5
"HIZENTRA 4",51.5
"PRIMIDONE",51.37
"TIROSINT C",51.25
"PERFOROMIS",51.25
"ASPIRIN FC",51
"HORIZANT (",51
"TARCEVA 10",51
"BENDEKA 10",51
"GNP DOCUSA",51
"PEPTIC REL",51
"BISCOLAX 1",50.75
"KIDKARE CO",50.5
"PROGRAF 0.",50.5
"DAYTRANA 2",50.5
"ISDN 20MG",50.4
"ORKAMBI (L",50.25
"RIFAMPIN C",50.08
"PHENYTOING",50
"Q-DRYL",50
"NASONEX NA",50
"CONCERTA 2",50
"SKLICE LOT",50
"ADAPALENE",49.84
"GNP ANTI D",49.75
"CHLORPHENI",49.75
"IRBESARTAN",49.72
"LOSARTAN A",49.57
"ENEMEEZ PL",49.5
"LETAIRIS 5",49.5
"NATURAL VE",49
"TRI-VIT/FL",49
"ASPIRIN E/",49
"ARTHRITIS",48.75
"CIMETIDINE",48.6
"CHILD ALL",48.5
"NADOLOL (4",48.5
"NON-ASPIRI",48.12
"LDR ARTH P",48
"THERA-GESI",48
"HIZENTRA 1",47.5
"NEO/POLY/B",47.5
"EQUETRO 20",47.5
"DAYTRANA 1",47.5
"PRAMIPEXOL",47.43
"HEALTH MAR",47.34
"VIBERZI (E",47.25
"DARZALEX (",47
"JUNIOR STR",47
"BICALUTAMI",46.93
"FYCOMPA",46.92
"GAMMAGARD",46.67
"SAPHRIS 2.",46.5
"AMETHYST 0",46.5
"NEXAVAR",46.5
"CYCLOPENTO",46.47
"FLURBIPROF",46.4
"STRIVERDI",46
"Q-TUSSIN L",46
"ZANTAC INJ",46
"SENEXON LI",46
"BIDIL (ISO",46
"PET WHITE",46
"FEVERALL A",45.91
"ALCLOMETAS",45.79
"COMBIPATCH",45.67
"MURO 2% SO",45.5
"STRATTERA",45.5
"THEOPHYLLI",45.33
"BPL DIVALP",45.13
"NITRO- BID",45
"ZEASORB JO",45
"ALECENSA 1",45
"SM LANSOPR",45
"HEMANGEOL",45
"AMETHIA TA",44.75
"FIBER THER",44.67
"NEUPOGEN (",44.61
"NUCYNTA 75",44.5
"OXAPROZIN",44.45
"DAPSONE US",44.33
"SOLU-CORTE",44.33
"ORTHO MICR",44.25
"BPL GABAPE",44.25
"GNP TUSSIN",44.25
"ISDN 10MG",44.2
"FEMYNOR (N",44
"ELIGARD 22",44
"APLENZIN E",44
"TOLTERODIN",43.85
"MIDAZOLAM",43.83
"DRONABINOL",43.78
"NORE ACE/E",43.75
"RIOMET 500",43.67
"MOXIFLOXAC",43.53
"OMEGA3 ACI",43.5
"PRALUENT 1",43.5
"TARCEVA 15",43.5
"RECTIV 0.4",43.5
"FANAPT 6MG",43.5
"FELODIPINE",43.46
"SENNA AND",43.33
"METHYLDOPA",43.24
"LARIN 1.5/",43.2
"KINERET 10",43
"ZARAH TABL",43
"ADENOSINE",42.64
"CLIMARA PR",42.5
"ZIOPTAN 30",42.5
"H.P. ACTHA",42.5
"PRENATE ES",42.5
"TOPAMAX 25",42.5
"LOSARTAN T",42.29
"BENZACLIN",42.25
"MIDODRINE",42.11
"TETRACYCLI",42.06
"NIZATIDINE",42.05
"CRESTOR 20",42
"TRI FEMYNO",42
"SCOPOLAMIN",42
"DEMEROL(ME",41.67
"ROBAFEN CF",41.67
"CARBIDOPA/",41.66
"DILANTIN I",41.5
"LEXIVA TAB",41.5
"EFFIENT",41.5
"THIOTHIXEN",41.29
"DOCUSATE C",41.25
"CARNITOR S",41
"CELLCEPT O",41
"ORTHO CYCL",41
"SODIUM CAR",41
"B/AP/CC50/",41
"PROGLYCEM",41
"BERINERT",41
"PRED MILD",41
"CEFPODOXIM",40.96
"CAPECITABI",40.67
"CABIDOPA A",40.58
"FERROUS SU",40.5
"FETZIMA 12",40.5
"PRENATE DH",40.5
"SEROQUEL 1",40.5
"HIZENTRA 2",40.5
"TINIDAZOLE",40.25
"DEPAKENE S",40
"CEREZYME (",40
"CONCERTA 1",40
"ZUBSOLV 0.",40
"KAPVAY .1M",40
"SM INF PAI",40
"ZARXIO 300",40
"GAS RELIEF",39.75
"SEROQUEL X",39.71
"SABRIL TAB",39.5
"PREVACID 3",39.5
"RAPAMUNE L",39.33
"DROBABINOL",39.33
"LOTEMAX (L",39.2
"BEZTROPINE",39
"AUBAGIO 7",39
"SOOLANTRA",39
"DISULFIRAM",38.82
"COUGH DM 1",38.67
"NICOTINE 4",38.64
"CEVIMELINE",38.57
"XULTOPHY 1",38.5
"NORVIR 80M",38.5
"SAVELLA 25",38.5
"TOBREX OIN",38.5
"SULINDAC 1",38.43
"CARNITOR (",38.33
"BENLYSTA S",38.33
"PROMETHEGA",38.25
"NAMENDA XR",38.15
"RASUVO 25",38
"NIACIN ER",38
"VITRASE OV",38
"TREXIMET T",38
"CGH/COLD D",38
"GLUCAGEN D",38
"ARISTADA 4",38
"ZOVIA 1 MG",38
"ZATEAN PLU",38
"ZALEPLON 5",38
"LICE KILLI",37.75
"GABLOFEN 2",37.75
"OXYMORPHON",37.63
"LORZONE 75",37.5
"LEUKINE LY",37.5
"TUSSIN GUA",37.5
"FLEET LAXA",37.5
"BROMOCRIPT",37.42
"ASACOL HD",37.33
"CALCIUM EX",37.25
"CYCLOPHOSP",37.18
"NECON 1/50",37
"SPINOSAD 0",37
"ILEVRO SUS",37
"DIPYRIDAMO",36.83
"ZENPEP DR",36.56
"FETZIMA 20",36.5
"FANAPT 8MG",36.5
"TREMFYA (G",36.5
"DEPAKOTE 2",36.5
"FANAPT 4MG",36.5
"RELISTOR T",36.5
"TAZORAC CR",36.43
"FERAHEME",36.33
"BELSOMRA 1",36.25
"TEARS NATU",36.25
"XOPENEX 1.",36
"ZOFRAN INJ",36
"20% PROSOL",36
"506070% DE",36
"DOFETILIDE",35.9
"AMNESTEEM",35.75
"GNP TERBIN",35.75
"REBIF REBI",35.6
"FELCAINIDE",35.6
"EDARBI 80M",35.5
"BETASERON",35.5
"GAMUNEX-C",35.4
"METHENAMIN",35.12
"CAYSTON (A",35
"FLURAZEPAM",35
"TRAZADONE",35
"ADDED STRE",35
"ZYTIGA 500",35
"REGRANEX",35
"FASENRA IN",35
"PINDOLOL 5",35
"FOSINOPRIL",34.91
"CARBOPLATI",34.76
"STERILE WA",34.75
"SODIUM POL",34.69
"IMIPRAMINE",34.62
"METHYLPENI",34.5
"SOD CITRAT",34.5
"JUBLIA 4ML",34
"FOCALIN TA",34
"IPRATROP/A",33.75
"FAMCICLOVI",33.71
"TAMIFLU 45",33.5
"ACZONE (DA",33.5
"PROMACTA T",33.43
"RILUZOLE 5",33.33
"DIPRIVAN (",33.25
"PREZISTA 1",33
"RASUVO 20",33
"DESONIDE O",33
"HYOSYNE EL",33
"FELBATOL 6",33
"TRELEGY EL",33
"LUCENTIS",33
"NICOTINE",32.83
"ANDRODERM",32.8
"REVLIMID (",32.75
"CEFAZOLIN",32.6
"XIGDUO XR",32.43
"DROXIA",32.33
"CHEST CONG",32.3
"DEPO-ESTRA",32
"DAPSONE TA",32
"DESPRAMINE",32
"AMICAR ORA",32
"IOPHEN-DM",32
"NEORAL SGC",32
"5% DEXTROS",31.86
"CLEARLAX L",31.83
"EXELON TTS",31.8
"KETOPROFEN",31.8
"ESZOPICLON",31.51
"DIOVAN  (V",31.5
"SEROQUEL 5",31.5
"PAXIL O/SU",31.5
"DEXTROAMPE",31.5
"LAMOTRIG E",31.22
"TALTZ",31.17
"FLECAINIDE",31.1
"ETHAMBUTOL",31.08
"VANCOMYCIN",31.03
"RENAGEL 40",31
"COMPLETENA",31
"NECON  0.5",31
"YASMIN",31
"MEXILETINE",31
"BANOPHEN A",31
"FLO CHILDR",31
"FLEET BISA",31
"FYCOMPA OS",31
"RAPAFLO 4",31
"VOTRIENT T",31
"LOPINAVIR",31
"LEUCOVORIN",30.96
"DIOVAN (VA",30.75
"ZARXIO 480",30.75
"CARBIDOPA-",30.67
"SELEGILINE",30.56
"RYNEX DM",30.5
"BISA-LAX L",30.5
"IMBRUVICA",30.5
"QUILLICHEW",30.5
"NYSTAT-TRI",30.42
"EXTRA STRE",30.29
"MICRHOGAM",30.25
"ETODOLAC C",30.17
"PREP-H, 2O",30
"K-PHOS ORI",30
"AZASAN-AZA",30
"EQUETRO 30",30
"KUVAN POWD",30
"TRUVADA 10",30
"NUPLAZID 1",30
"ADEMPAS 2.",30
"IREBESARTA",30
"MAX STRENG",29.89
"GNP ALLERG",29.82
"GRANISETRO",29.79
"CLEARLAX P",29.67
"RIFABUTIN",29.6
"ALLERGY RE",29.56
"AMIKACIN 1",29.5
"CAZIANT  T",29.5
"ACTEMRA 20",29.5
"RASUVO 15",29.5
"FENOFIBRIC",29.47
"DESLORATAD",29.42
"GNP LORATA",29.29
"FROVATRIPT",29.2
"LAMICTAL O",29.11
"COPPER TRA",29
"ZATEAN CH",29
"ALLERGY D-",29
"CINRYZE C1",29
"GLEEVEC FC",29
"FANAPT 2MG",29
"SUNMARK NT",29
"AZACITIDIN",29
"SM GAS REL",29
"FERRIPROX",29
"MYCAMINE (",29
"TRIGELS-F",29
"DICLOFFENA",28.75
"ZOLOFT (SE",28.63
"TRIAZOLAM",28.63
"SAFYRAL TA",28.5
"BEPREVE (B",28.5
"VITAFOL GU",28.5
"XIAFLEX  (",28.5
"TASIGNA HG",28.5
"HUMIRA SYR",28.5
"INGREZZA 8",28.5
"CRESTOR 5M",28.5
"NEVIRAPINE",28.35
"PACLITAXEL",28.15
"DESONIDE .",28
"SILENOR",28
"OCREVUS 30",28
"VALCYTE 45",28
"NAMZARIC 1",28
"HYCODONE/A",28
"ISOPTO TEA",28
"PYLERA CAP",28
"DEPAKOTE 1",28
"METFORMINH",28
"NICOTINE 2",27.82
"URSODIOL 5",27.75
"TIGECYCLIN",27.75
"GLYXAMBI 2",27.67
"OXYTROL (O",27.5
"ETODOLAC 2",27.5
"COLOCORT",27.5
"THEO-24 40",27.5
"ZILEUTON E",27.5
"CPL HC 1%",27.5
"RABEPRAZOL",27.45
"EPLERENONE",27.37
"SPRYCEL",27.36
"LUNESTA (E",27.33
"PIMOZIDE T",27.2
"ALINIA TAB",27
"INTROVALE",27
"OSCIMIN SR",27
"SAVELLA TI",27
"DAYSEE  (L",27
"ANGIOMAX (",27
"NEPHRON FA",27
"ONGLYZA 2.",26.67
"TEFLARO 60",26.67
"PROLASTIN-",26.6
"BRIVIACT (",26.54
"COUMADIN",26.53
"BESIVANCE",26.5
"ASPIRIN DI",26.5
"INGREZZA 4",26.5
"AMICAR 500",26.5
"NEBUPENT I",26.5
"FIBER LAXA",26.38
"CARBIDOPA",26.35
"TAZAROTENE",26.29
"DANTROLENE",26.27
"DILAUDID H",26.25
"WELLBUTRIN",26.17
"ETOLODAC X",26.14
"RIFAMPIN 3",26.08
"ABSORICA C",26
"TROKENDI X",26
"ASCOMP W/",26
"ESTROPIPAT",26
"CYTRA-K OR",26
"ZOMACTON 5",26
"ADCETRIS (",26
"ENDACOF-DM",26
"TESTERONE",26
"PROMETHAZO",26
"LOXAPINE 5",26
"SYPRINE 25",26
"DOXEPIN 25",26
"CIPRO ORAL",26
"CALCIPOTR/",26
"KLONOPIN 0",26
"ACTEMRA 40",26
"MINOXIDIL",25.88
"ZOLMITRIPT",25.76
"PEDIA LAX",25.75
"LOVAZA CAP",25.75
"TRIVIT/FLU",25.75
"NICOTINE L",25.5
"AMBISOME L",25.5
"DAPSONE 25",25.5
"RAVICTI",25.5
"VIMOVO",25.5
"LOSARTAN K",25.38
"NATAZIA",25.33
"AFREZZA 4",25.33
"SLEEP AID",25.25
"DESONIDE C",25.06
"TRIANEX 0.",25
"ULTRA STRE",25
"SUMAVEL DO",25
"KEVZARA 20",25
"SUPPRELIN",25
"SUPHEDRIN",24.83
"VANCOCIN H",24.75
"KLOR-CON 8",24.75
"FANAPT 12M",24.5
