Utilization Type	State	Labeler Code	Product Code	Package Size	Year	Quarter	NDC	Product Name	Units 	Prescriptions	Total Amount
MCOU	NY	70700	263	30	2018	1	70700026330	LANSOPRAZO	"9,375"	258	"3,663.37"
MCOU	NY	63304	580	10	2018	1	63304058010	METOPROLOL	"2,590"	58	72.48
MCOU	NY	54838	140	40	2018	1	54838014040	DIABETIC M			
MCOU	NY	93	7155	31	2018	1	93715531	SIMVASTATI			
FFSU	NY	51862	185	1	2018	1	51862018501	MORPHINE S			
MCOU	NY	555	1057	86	2018	1	555105786	CLARAVIS C	"34,780"	717	"157,258.93"
MCOU	NY	16729	196	1	2018	1	16729019601	LISINOPRIL			
MCOU	NY	68382	57	1	2018	1	68382005701	WARFARIN S			
MCOU	NY	62011	61	1	2018	1	62011006101	HEALTH MAR	"1,716"	41	104.96
MCOU	NY	6	477	61	2018	1	6047761	ISENTRESS	"4,413"	48	"27,222.51"
MCOU	NY	71	237	24	2018	1	71023724	ZARONTIN C	"1,670"	13	"6,050.19"
MCOU	NY	527	1329	1	2018	1	527132901	BETHANECHO	682	12	691.83
MCOU	NY	904	6351	61	2018	1	904635161	LEVOFLOXAC			
MCOU	NY	47918	902	18	2018	1	47918090218	AFREZZA 4	"14,040"	76	"83,669.26"
MCOU	NY	45802	46	11	2018	1	45802004611	GENTAMICIN	"11,280"	349	"22,361.40"
MCOU	NY	168	154	31	2018	1	168015431	HYDORCORTI	"82,987.60"	"2,128"	"8,016.40"
MCOU	NY	65862	595	5	2018	1	65862059505	DIVALPROEX	"125,887"	"1,937"	"180,961.73"
MCOU	NY	143	9745	5	2018	1	143974505	GRANISETRO	189	189	"386,618.49"
MCOU	NY	338	1019	48	2018	1	338101948	2G IN 100M			
FFSU	NY	16729	1	16	2018	1	16729000116	GLIMEPIRID	"1,050"	25	158.35
MCOU	NY	54092	700	1	2018	1	54092070001	ELAPRASE 6	390	14	"593,160.91"
MCOU	NY	378	4643	26	2018	1	378464326	ESTRADIOL	612	77	"4,793.74"
FFSU	NY	113	467	68	2018	1	113046768	ASPIRIN CH	"43,166"	"1,167"	"5,451.02"
FFSU	NY	16729	134	16	2018	1	16729013416	ALLOPURINO	"3,910"	108	972.28
FFSU	NY	16729	297	83	2018	1	16729029783	ONDANSETRO			
MCOU	NY	46122	164	26	2018	1	46122016426	LORATADINE	"33,278"	221	"1,327.61"
FFSU	NY	703	3671	93	2018	1	703367193	METHOTREXA			
FFSU	NY	603	4110	28	2018	1	603411028	ISOSORIBDE	"1,440"	35	408.44
FFSU	NY	121	676	16	2018	1	121067616	POTASSIUM	"45,042"	92	"3,357.86"
FFSU	NY	121	1488	0	2018	1	121148800	GUAIFENESI			
FFSU	NY	54	127	22	2018	1	54012722	LOSARTAN P			
MCOU	NY	50742	103	10	2018	1	50742010310	ATENOLOL T			
MCOU	NY	54458	966	10	2018	1	54458096610	GLIMEPIRID			
MCOU	NY	68001	334	8	2018	1	68001033408	LISINOPRIL	"12,560"	402	441.18
MCOU	NY	65162	768	11	2018	1	65162076811	WARFARIN S			
FFSU	NY	168	352	22	2018	1	168035222	MUPIROCIN	"2,596"	105	"1,214.13"
FFSU	NY	591	2168	19	2018	1	591216819	VALSARTAN			
FFSU	NY	59762	3051	2	2018	1	59762305102	AZITHROMYC	46	44	"1,188.06"
MCOU	NY	16714	294	3	2018	1	16714029403	AMOX-CLAV	"77,695"	383	"9,932.90"
FFSU	NY	49348	196	9	2018	1	49348019609	IBUPROFEN			
FFSU	NY	57664	167	52	2018	1	57664016752	METOPROLOL	"2,490"	33	223.26
MCOU	NY	93	2277	73	2018	1	93227773	AMOX-CLAV	"2,500"	24	356.39
MCOU	NY	781	3356	3	2018	1	781335603	ENOXAPARIN			
MCOU	NY	10147	892	3	2018	1	10147089203	GALANTAMIN			
MCOU	NY	228	2752	50	2018	1	228275250	GLYB/METFR	"17,760"	240	"1,453.54"
FFSU	NY	16714	470	2	2018	1	16714047002	CLONAZEPAM	"1,064"	20	113.61
MCOU	NY	59762	1710	2	2018	1	59762171002	EPLERENONE	"13,310"	408	"21,693.80"
FFSU	NY	781	1486	10	2018	1	781148610	AMITRIPTYL	"2,328"	45	367.5
MCOU	NY	42023	116	1	2018	1	42023011601	PITOCIN 10			
FFSU	NY	781	1078	1	2018	1	781107801	ATENOLOL 2	"1,731"	45	432.15
FFSU	NY	68001	179	0	2018	1	68001017900	GLIMEPIRID			
FFSU	NY	55111	293	9	2018	1	55111029309	SUMATRIPTA	787	79	"1,028.19"
MCOU	NY	10702	76	6	2018	1	10702007606	METHYLPHEN	"3,375"	95	"10,561.76"
FFSU	NY	68001	271	8	2018	1	68001027108	BPL LISINO			
FFSU	NY	43547	367	3	2018	1	43547036703	VALSARTAN	"2,345"	60	745.42
FFSU	NY	45802	87	65	2018	1	45802008765	ALOGLIPTIN			
MCOU	NY	55111	199	5	2018	1	55111019905	SIMVASTATI	"17,550"	577	"1,432.14"
FFSU	NY	61958	2501	1	2018	1	61958250101	BIKTARVY			
MCOU	NY	51224	102	50	2018	1	51224010250	HYDROMORPH			
FFSU	NY	60631	425	30	2018	1	60631042530	EDARBYCLOR			
FFSU	NY	59676	320	4	2018	1	59676032004	PROCRIT (E	755.05	402	"200,461.73"
MCOU	NY	71	525	24	2018	1	71052524	CELONTIN 3			
FFSU	NY	64896	662	1	2018	1	64896066201	"RYTARY, 36"			
FFSU	NY	185	130	5	2018	1	185013005	BUMETANIDE			
MCOU	NY	24510	140	10	2018	1	24510014010	XTAMPZA ER			
FFSU	NY	43547	361	9	2018	1	43547036109	LOSARTAN P	"18,819"	433	"2,844.25"
FFSU	NY	60505	584	1	2018	1	60505058401	EPINASTINE			
MCOU	NY	42292	17	20	2018	1	42292001720	SPIRONOLAC			
FFSU	NY	68001	248	4	2018	1	68001024804	MONTELUKAS	660	20	193.87
MCOU	NY	93	7149	94	2018	1	93714994	AZITHROMYC			
FFSU	NY	50383	740	16	2018	1	50383074016	ALBUTEROL	"32,427.50"	209	"3,545.87"
MCOU	NY	45802	211	72	2018	1	45802021172	ALOGLIPTIN	"138,974"	"2,375"	"391,504.70"
MCOU	NY	69315	210	1	2018	1	69315021001	METHENAMIN			
FFSU	NY	327	11	5	2018	1	327001105	RENACIDIN			
MCOU	NY	69	3060	86	2018	1	69306086	ZITHROMAX			
FFSU	NY	62011	277	2	2018	1	62011027702	HEALTH MAR			
MCOU	NY	76282	419	1	2018	1	76282041901	LISINOPRIL			
MCOU	NY	68462	639	45	2018	1	68462063945	NITROGLYCE	"46,430"	"1,154"	"21,966.20"
FFSU	NY	62856	710	30	2018	1	62856071030	LENVIMA 10			
MCOU	NY	173	774	2	2018	1	173077402	LAMICTAL O	660	16	"7,151.44"
FFSU	NY	185	117	1	2018	1	185011701	LABETALOL	"26,506"	283	"7,844.09"
MCOU	NY	555	831	5	2018	1	555083105	WARFARIN S			
MCOU	NY	13107	157	90	2018	1	13107015790	PAROXETINE	"53,154"	"1,752"	"9,746.21"
MCOU	NY	51862	284	1	2018	1	51862028401	TILIA FE T			
FFSU	NY	68001	141	0	2018	1	68001014100	RAMIPRIL C			
MCOU	NY	51079	573	1	2018	1	51079057301	TRIFLUOPER			
FFSU	NY	93	1003	1	2018	1	93100301	BUSPIRONE	"26,702"	380	"3,113.07"
FFSU	NY	378	6173	1	2018	1	378617301	METOLAZONE	"3,570"	135	"5,066.72"
MCOU	NY	66215	628	20	2018	1	66215062820	UPTRAVI (S			
FFSU	NY	591	2693	1	2018	1	591269301	OXYCODONE			
MCOU	NY	49348	846	46	2018	1	49348084646	OMEPRAZOLE	"2,548"	81	"1,451.62"
FFSU	NY	378	8155	1	2018	1	378815501	METHYLPHEN	"4,238"	144	"28,869.80"
MCOU	NY	591	3984	1	2018	1	591398401	CELECOXIB	"18,137"	449	"20,076.44"
MCOU	NY	641	1410	31	2018	1	641141031	DIGOXIN 50			
MCOU	NY	24208	434	10	2018	1	24208043410	OFLOXACIN	"1,195"	120	"2,424.28"
MCOU	NY	58657	326	50	2018	1	58657032650	MULTI VIT	"7,950"	158	"2,106.64"
MCOU	NY	54458	933	16	2018	1	54458093316	SIMVASTATI	"35,858"	"1,203"	"2,075.56"
MCOU	NY	591	3222	47	2018	1	591322247	ORPHENADRI			
FFSU	NY	65862	523	5	2018	1	65862052305	GABAPENTIN			
FFSU	NY	59746	245	5	2018	1	59746024505	LAMOTRIGIN	"17,882"	201	"1,947.34"
FFSU	NY	13668	16	12	2018	1	13668001612	LEVETIRACE			
FFSU	NY	93	7600	57	2018	1	93760057	TEMOZOLOMI			
MCOU	NY	904	61	0	2018	1	904006100	GUIATUSS	"460,439"	"2,882"	"4,737.96"
MCOU	NY	904	5869	60	2018	1	904586960	DOCUSATE S	"5,757"	101	270.9
MCOU	NY	58468	220	1	2018	1	58468022001	CERDELGA (			
MCOU	NY	16714	449	1	2018	1	16714044901	AMITRIPTYL	"6,794"	212	"4,701.83"
MCOU	NY	65862	200	1	2018	1	65862020001	GABAPENTIN	"29,906"	351	"3,182.50"
MCOU	NY	378	4598	77	2018	1	378459877	METOPROLOL			
MCOU	NY	378	6689	77	2018	1	378668977	PANTOPRAZO	"50,809"	"1,649"	"4,353.05"
FFSU	NY	66993	44	30	2018	1	66993004430	ATOMOXETIN	"1,298"	42	"6,729.55"
FFSU	NY	143	9700	1	2018	1	143970001	CORTISONE			
MCOU	NY	591	800	5	2018	1	591080005	HYDROXYZIN	"2,538"	48	194.41
MCOU	NY	54	8740	25	2018	1	54874025	PREDNISONE			
MCOU	NY	16729	95	12	2018	1	16729009512	QUETIAPINE	"9,663"	315	"44,873.61"
MCOU	NY	143	9529	1	2018	1	143952901	FLUPHENAZI	"2,327"	462	"43,010.27"
MCOU	NY	49884	872	1	2018	1	49884087201	FLUOXETINE	"17,412"	514	"4,969.61"
MCOU	NY	52565	56	15	2018	1	52565005615	TRIAMCINOL	"1,365"	46	173.11
FFSU	NY	6	3519	36	2018	1	6351936	TRUSOPT 2%			
MCOU	NY	173	556	1	2018	1	173055601	ZYBAN TAB			
MCOU	NY	378	781	5	2018	1	378078105	FEXOFENADI			
MCOU	NY	115	1385	8	2018	1	115138508	EZETIMIBE/			
MCOU	NY	61442	103	1	2018	1	61442010301	DICLOFENAC	"56,670"	"1,080"	"9,438.12"
MCOU	NY	51672	4038	1	2018	1	51672403801	ENALAPRIL	"14,664"	410	"3,896.47"
FFSU	NY	45802	60	3	2018	1	45802006003	BACITRACIN	"81,774.90"	"2,546"	"13,219.37"
MCOU	NY	23155	70	1	2018	1	23155007001	METHIMAZOL	"105,339"	"2,806"	"9,705.08"
FFSU	NY	50458	140	30	2018	1	50458014030	INVOKANA	"14,837"	448	"224,968.10"
MCOU	NY	54458	990	16	2018	1	54458099016	PAROXETINE	"8,235"	258	719
MCOU	NY	406	8390	1	2018	1	406839001	MORPHINE S	"9,225"	132	"14,968.11"
FFSU	NY	60505	3113	3	2018	1	60505311303	OLANZAPINE	"14,805"	356	"4,268.83"
MCOU	NY	68084	964	95	2018	1	68084096495	PROPYLTHIO			
MCOU	NY	17772	101	30	2018	1	17772010130	TROKENDI X	"2,017"	50	"17,448.77"
FFSU	NY	904	6232	52	2018	1	904623252	MUCUS RELI	"33,185"	778	"6,789.76"
FFSU	NY	16714	663	2	2018	1	16714066302	GABAPENTIN	"1,620"	15	205.37
FFSU	NY	68001	139	6	2018	1	68001013906	ZIPRASIDON			
MCOU	NY	43547	251	10	2018	1	43547025110	CHLORDIAZE	"1,203"	20	101.2
MCOU	NY	378	6960	93	2018	1	378696093	GLATIRAMER			
FFSU	NY	16714	365	4	2018	1	16714036504	ELINEST 0.	"6,496"	188	"5,436.44"
MCOU	NY	93	5296	1	2018	1	93529601	METHYLPHEN	"30,492"	"1,006"	"85,951.13"
MCOU	NY	29300	130	10	2018	1	29300013010	HYDROCHLOR	"123,398"	"4,087"	"7,343.81"
MCOU	NY	57237	88	34	2018	1	57237008834	RIZATRIPTA	178	18	356.48
MCOU	NY	378	772	1	2018	1	378077201	VERAPAMIL	"5,077"	87	295.35
MCOU	NY	10370	101	0	2018	1	10370010100	BUPROPION			
MCOU	NY	45963	555	11	2018	1	45963055511	GABAPENTIN	"46,818"	541	"2,915.74"
MCOU	NY	54458	863	10	2018	1	54458086310	BENAZEPRIL			
FFSU	NY	49348	42	9	2018	1	49348004209	NON-ASPIRI			
MCOU	NY	60793	701	10	2018	1	60793070110	BICILLIN L	900.078	490	"112,869.71"
FFSU	NY	527	1345	1	2018	1	527134501	LEVOTHYROX	"4,187"	128	"2,136.12"
MCOU	NY	2	3228	30	2018	1	2322830	STRATTERA	"1,343"	40	"16,384.71"
FFSU	NY	62011	40	1	2018	1	62011004001	HEALTH MAR	"1,404"	41	89.83
FFSU	NY	378	5375	1	2018	1	378537501	DOXEPIN HC	"2,490"	70	"3,317.78"
MCOU	NY	591	5882	1	2018	1	591588201	METHYLPHEN	"21,683"	476	"7,831.02"
MCOU	NY	33342	94	73	2018	1	33342009473	RIZATRIPTA	"2,717"	280	"5,899.60"
FFSU	NY	121	544	10	2018	1	121054410	DOCUSATE S	"49,442"	127	972.33
MCOU	NY	33342	116	7	2018	1	33342011607	CANDESARTA	"1,785"	58	"3,083.23"
MCOU	NY	62175	471	32	2018	1	62175047132	PAROXETINE	"4,674"	123	"13,257.52"
MCOU	NY	378	5100	93	2018	1	378510093	ITRACONAZO	512	16	"1,961.78"
MCOU	NY	143	1257	10	2018	1	143125710	HYDROCHLOR			
MCOU	NY	53489	647	1	2018	1	53489064701	DOXYCYCLIN	"28,315"	503	"11,304.17"
MCOU	NY	49884	946	1	2018	1	49884094601	TRAMADOL A			
MCOU	NY	31722	728	90	2018	1	31722072890	MONTELUKAS	"122,745"	"3,791"	"34,136.45"
MCOU	NY	536	1058	75	2018	1	536105875	BENZOYL PE	"1,403.50"	38	150.82
MCOU	NY	51672	4062	1	2018	1	51672406201	FLUOROURAC			
MCOU	NY	49348	981	15	2018	1	49348098115	SM APIRIN	"3,270"	105	36.07
FFSU	NY	52544	236	31	2018	1	52544023631	JEVANTIQUE			
MCOU	NY	603	5769	21	2018	1	603576921	SOTALOL HC	"3,885"	75	336.33
FFSU	NY	456	460	1	2018	1	456046001	ARMOUR THY	"1,125"	31	"1,397.30"
FFSU	NY	64125	127	10	2018	1	64125012710	FOLIC ACID	"60,166"	"1,748"	"9,494.77"
FFSU	NY	4	800	85	2018	1	4080085	TAMIFLU 75	"1,671"	165	"20,750.65"
FFSU	NY	93	5246	65	2018	1	93524665	OLANZAPINE			
MCOU	NY	45802	966	96	2018	1	45802096696	ERYTHROMYC	"50,235"	835	"81,855.68"
MCOU	NY	55111	145	12	2018	1	55111014512	FLUCONAZOL	"5,060"	"2,984"	"7,201.36"
FFSU	NY	47335	835	83	2018	1	47335083583	GALANTAMIN			
FFSU	NY	13107	55	1	2018	1	13107005501	OXYCODONE			
FFSU	NY	51862	63	5	2018	1	51862006305	DIAZEPAM 5	"1,282"	24	112.82
FFSU	NY	51144	50	1	2018	1	51144005001	ADCETRIS (	11.66	15	"157,154.03"
FFSU	NY	185	372	1	2018	1	185037201	CITALOPRAM	"1,575"	47	325.28
FFSU	NY	67877	562	10	2018	1	67877056210	METFORMIN	"7,850"	133	999.73
MCOU	NY	456	1405	63	2018	1	456140563	BYSTOLIC 5			
MCOU	NY	703	5040	1	2018	1	703504001	DOXORUBICI	"3,565"	100	"332,716.10"
FFSU	NY	43598	495	1	2018	1	43598049501	NAPROXEN S			
MCOU	NY	16714	346	1	2018	1	16714034601	DASETTA 7/			
FFSU	NY	68382	645	6	2018	1	68382064506	OLMESARTAN			
FFSU	NY	378	8020	77	2018	1	378802077	FLUVASTATI			
FFSU	NY	641	6135	25	2018	1	641613525	PROCHLORPE			
FFSU	NY	47335	671	81	2018	1	47335067181	DILTIAZEM			
MCOU	NY	54092	474	1	2018	1	54092047401	MYDAYIS 37	540	18	"4,745.44"
MCOU	NY	47781	490	50	2018	1	47781049050	DOXYCYCLIN	"10,280"	424	"17,317.16"
FFSU	NY	172	3757	60	2018	1	172375760	LISINOPRIL	720	22	136.6
FFSU	NY	59746	173	6	2018	1	59746017306	PREDNISONE	"11,213"	387	"2,859.37"
MCOU	NY	781	3655	5	2018	1	781365505	ENOXAPARIN			
MCOU	NY	115	1471	55	2018	1	115147155	MOMETASONE			
FFSU	NY	93	3045	1	2018	1	93304501	VERAPAMIL			
MCOU	NY	65862	5	5	2018	1	65862000505	CITALOPRAM	"40,029"	"1,237"	"3,508.96"
FFSU	NY	49884	335	1	2018	1	49884033501	FLUOXETINE			
FFSU	NY	60505	6152	4	2018	1	60505615204	CEFTRIAXON			
MCOU	NY	64720	292	10	2018	1	64720029210	GLYBURIDE			
FFSU	NY	51672	1253	4	2018	1	51672125304	FLUOCINONI			
MCOU	NY	65862	625	90	2018	1	65862062590	RIZATRIPTA	326	34	619.91
MCOU	NY	115	1661	1	2018	1	115166101	PROPRANOLO	"41,114"	654	"12,045.01"
MCOU	NY	51991	746	5	2018	1	51991074605	DULOXETINE	"2,600"	73	"2,206.20"
FFSU	NY	16714	271	2	2018	1	16714027102	CETIRIZINE	"49,538"	"1,385"	"8,472.40"
MCOU	NY	65862	549	90	2018	1	65862054990	VALSARTAN-	"19,421"	642	"9,353.48"
MCOU	NY	69097	859	2	2018	1	69097085902	TERBINAFIN	"93,942"	"3,715"	"21,846.42"
MCOU	NY	25021	815	67	2018	1	25021081567	LEUCOVORIN			
MCOU	NY	50383	933	55	2018	1	50383093355	LIDOCAINE	"97,309.04"	"1,585"	"213,592.58"
MCOU	NY	29300	116	5	2018	1	29300011605	TOPIRAMATE	"2,430"	42	255.79
MCOU	NY	29300	111	1	2018	1	29300011101	LAMOTRIGIN	"236,672"	"3,482"	"21,524.62"
FFSU	NY	781	5229	10	2018	1	781522910	ATENOLOL 1			
FFSU	NY	53746	253	18	2018	1	53746025318	RANITIDINE			
FFSU	NY	50242	82	2	2018	1	50242008202	LUCENTIS 0	4.118	78	"92,872.46"
MCOU	NY	51672	1310	3	2018	1	51672131003	BETAMETHAS	"29,313.46"	559	"17,406.35"
MCOU	NY	409	7922	3	2018	1	409792203	DEXTROSE 5	"133,000"	174	"59,049.02"
MCOU	NY	527	1109	10	2018	1	527110910	ISONIAZED			
FFSU	NY	6	747	31	2018	1	6074731	HYZAAR 100			
FFSU	NY	68462	263	90	2018	1	68462026390	ROSUVASTAT	"1,177"	39	441.58
FFSU	NY	53746	511	1	2018	1	53746051101	SPIRONOLAC	"11,149"	269	"2,069.59"
MCOU	NY	13668	251	30	2018	1	13668025130	OLMESARTAN			
FFSU	NY	61958	1101	1	2018	1	61958110101	COMPLERA	"4,492"	148	"395,740.56"
MCOU	NY	42043	161	3	2018	1	42043016103	MODAFINIL			
MCOU	NY	13925	161	12	2018	1	13925016112	SODIUM SUL			
MCOU	NY	904	1983	60	2018	1	904198360	ACETAMINOP	"42,534"	633	620.61
FFSU	NY	187	994	45	2018	1	187099445	ZOVIRAX CR	575	115	"89,130.40"
MCOU	NY	536	4445	54	2018	1	536444554	REGULOID/	"1,311,150.40"	"3,434"	"12,255.48"
MCOU	NY	58657	680	50	2018	1	58657068050	IBUPROFEN	"1,382"	46	83.61
FFSU	NY	338	17	38	2018	1	338001738	DEXTROSE 5			
MCOU	NY	168	355	15	2018	1	168035515	HALOBETASO	"37,460"	844	"88,492.87"
MCOU	NY	68516	3202	2	2018	1	68516320202	PROFILNINE			
MCOU	NY	24208	295	5	2018	1	24208029505	TOBRAMYCIN	"22,812.50"	"4,280"	"323,310.06"
MCOU	NY	60505	2528	6	2018	1	60505252806	ZIPRASIDON	"34,114"	736	"48,030.66"
FFSU	NY	69315	130	10	2018	1	69315013010	HYDROCHLOR			
MCOU	NY	43598	409	25	2018	1	43598040925	LEVALBUTER			
MCOU	NY	43386	312	8	2018	1	43386031208	POLYETHYLE	"209,703"	862	"5,114.24"
MCOU	NY	597	355	9	2018	1	597035509	PRADAXA 75			
MCOU	NY	63304	905	30	2018	1	63304090530	VALACYCLOV	"28,085"	"1,204"	"27,083.75"
FFSU	NY	46122	109	52	2018	1	46122010952	GNP LORATA			
MCOU	NY	50268	712	15	2018	1	50268071215	SIMVASTATI			
MCOU	NY	143	9886	50	2018	1	143988650	AMOXICILLA	"11,900"	182	641.68
MCOU	NY	68645	571	54	2018	1	68645057154	CITALOPRAM	"1,110"	37	81.12
FFSU	NY	17478	174	24	2018	1	17478017424	XOPENEX 1.	"3,902.40"	25	"12,677.99"
FFSU	NY	944	2850	7	2018	1	944285007	CUVITRU 8G	"1,920"	12	"95,840.81"
MCOU	NY	55111	123	90	2018	1	55111012390	ATORVASTAT	"204,252"	"6,466"	"106,424.72"
FFSU	NY	68462	406	1	2018	1	68462040601	INDOMETHAC	"1,536"	26	230.96
MCOU	NY	46122	141	21	2018	1	46122014121	GNP COUGH			
FFSU	NY	93	5294	98	2018	1	93529498	OMEPR4ZOLE			
MCOU	NY	65162	896	3	2018	1	65162089603	ARIPIPRAZO	"54,790"	"1,774"	"205,580.71"
MCOU	NY	703	5656	91	2018	1	703565691	TOPOSAR IN			
MCOU	NY	49348	165	10	2018	1	49348016510	SENNOSIDES	"11,634"	191	255.01
FFSU	NY	378	4561	77	2018	1	378456177	POTASSIUM	"1,476"	32	451.18
FFSU	NY	63304	962	30	2018	1	63304096230	BROMOCRIPT			
FFSU	NY	55111	719	30	2018	1	55111071930	LAMOTRIGIN	"2,167"	48	"13,687.49"
MCOU	NY	186	1094	5	2018	1	186109405	TOPROL-XL			
MCOU	NY	378	4642	26	2018	1	378464226	ESTRADIOL	"1,060"	134	"8,034.92"
FFSU	NY	16729	318	16	2018	1	16729031816	OXYBUTYNIN			
MCOU	NY	60505	3255	3	2018	1	60505325503	LETROZOLE	"10,244"	375	"2,831.53"
MCOU	NY	54	8174	25	2018	1	54817425	DEXAMETHA			
MCOU	NY	904	7915	40	2018	1	904791540	IBUPROFEN	"13,660"	219	415.47
FFSU	NY	228	2031	96	2018	1	228203196	ALPRAZOLAM			
FFSU	NY	487	201	3	2018	1	487020103	IPRATROPIU	"124,302"	712	"12,316.68"
FFSU	NY	29033	28	1	2018	1	29033002801	PINDOLOL T			
MCOU	NY	536	1011	1	2018	1	536101101	ALMACONE C	"53,441"	585	"1,150.13"
FFSU	NY	51862	194	60	2018	1	51862019460	CLARITHROM	318	14	"1,097.32"
FFSU	NY	68462	395	30	2018	1	68462039530	OMEPRAZOLE			
MCOU	NY	59572	503	21	2018	1	59572050321	POMALYST	483	23	"375,606.47"
MCOU	NY	31722	778	1	2018	1	31722077801	ACYCLOVIR	"14,747.10"	446	"2,979.23"
MCOU	NY	76189	113	18	2018	1	76189011318	ALUNBRIG 3			
FFSU	NY	57664	643	8	2018	1	57664064308	MIXED AMPH	"1,869"	44	955.67
FFSU	NY	68682	712	1	2018	1	68682071201	ENALAPRIL	"1,290"	28	366.75
MCOU	NY	49884	831	5	2018	1	49884083105	DILTIAZEM	"3,670"	130	"1,007.50"
MCOU	NY	185	103	1	2018	1	185010301	LISINOPRIL			
MCOU	NY	54505	328	9	2018	1	54505032809	DEXTROAMPH			
MCOU	NY	68084	482	1	2018	1	68084048201	LEVOFLOXAC			
MCOU	NY	61442	121	10	2018	1	61442012110	FAMOTIDINE	"448,086"	"9,623"	"19,006.52"
MCOU	NY	51672	5296	1	2018	1	51672529601	PROMETHAZO	397	52	"2,684.99"
FFSU	NY	93	263	92	2018	1	93026392	FLUOCINONI			
MCOU	NY	378	2658	1	2018	1	378265801	MORPHINE S	"1,770"	29	507.56
FFSU	NY	64980	195	1	2018	1	64980019501	BENAZEPRIL			
MCOU	NY	51079	888	20	2018	1	51079088820	METOCLOPRA			
FFSU	NY	57237	171	5	2018	1	57237017105	ROSUVASTAT			
MCOU	NY	51079	889	19	2018	1	51079088919	PENTOXYFYL			
MCOU	NY	781	2271	1	2018	1	781227101	AMLODIPINE			
MCOU	NY	603	4577	21	2018	1	603457721	METHYLPHEN	"3,387"	68	"1,768.10"
FFSU	NY	16729	200	16	2018	1	16729020016	BUSPIRONE	"4,928"	84	645.71
FFSU	NY	63739	201	10	2018	1	63739020110	PHENOBARBI	"2,324"	23	"1,473.67"
MCOU	NY	45802	486	78	2018	1	45802048678	DOCUSATE S	"909,608"	"15,984"	"13,221.55"
FFSU	NY	93	7154	31	2018	1	93715431	SIMVASTATI			
MCOU	NY	59627	333	4	2018	1	59627033304	AVONEX (IN	"1,264"	316	"2,092,940.02"
MCOU	NY	69238	1076	1	2018	1	69238107601	AZATHIOPRI	"3,379"	62	"3,051.65"
FFSU	NY	93	463	5	2018	1	93046305	LAMOTRIGIN			
FFSU	NY	23155	102	1	2018	1	23155010201	METFORMIN	"12,289"	186	"1,220.55"
MCOU	NY	121	1744	0	2018	1	121174400	GUAIFENESI			
FFSU	NY	69238	1124	9	2018	1	69238112409	NADOLOL 40	840	18	"1,635.09"
MCOU	NY	13668	32	5	2018	1	13668003205	TOPIRAMATE	"6,777"	126	699
FFSU	NY	59212	562	10	2018	1	59212056210	PLAQUENIL			
MCOU	NY	591	5442	43	2018	1	591544243	PREDNISONE			
MCOU	NY	66530	253	20	2018	1	66530025320	TRETINOIN	"2,420"	104	"5,331.25"
FFSU	NY	603	268	32	2018	1	603026832	Q NOL EXTR	"33,416"	391	"1,708.79"
MCOU	NY	43598	586	30	2018	1	43598058630	EZETIMIBE&			
FFSU	NY	68682	520	1	2018	1	68682052001	GRISEOFULV			
FFSU	NY	51862	47	91	2018	1	51862004791	AMETHIA TA	"8,827"	95	"11,218.93"
FFSU	NY	185	117	5	2018	1	185011705	LABETALOL	"26,087"	272	"7,955.97"
FFSU	NY	70347	81	30	2018	1	70347008130	YOSPRALA			
FFSU	NY	17772	123	1	2018	1	17772012301	OXTELLAR X	"5,670"	78	"86,799.24"
MCOU	NY	93	1136	56	2018	1	93113656	ACITRETIN	480	13	"8,639.56"
MCOU	NY	36800	141	72	2018	1	36800014172	FAMOTIDINE			
MCOU	NY	65162	33	11	2018	1	65162003311	ACETAMINOP	"47,711"	"1,911"	"7,315.80"
FFSU	NY	172	3759	70	2018	1	172375970	LISINOPRIL			
FFSU	NY	13668	107	90	2018	1	13668010790	RABEPRAZOL	720	16	643.73
MCOU	NY	409	3795	1	2018	1	409379501	KETOROLAC	"2,299"	"1,446"	"478,025.18"
FFSU	NY	555	324	2	2018	1	555032402	HYDROXYZIN	"4,065"	101	"3,813.47"
FFSU	NY	781	2363	1	2018	1	781236301	METHYLPHEN	"2,107"	58	"8,140.55"
MCOU	NY	143	9553	1	2018	1	143955301	LEUCOVORIN			
FFSU	NY	45963	733	60	2018	1	45963073360	DOXORUBICI	510	17	305.69
MCOU	NY	43386	80	3	2018	1	43386008003	AMLODIPINE			
MCOU	NY	66758	120	34	2018	1	66758012034	KLOR-CON U			
MCOU	NY	378	5270	1	2018	1	378527001	ESZOPICLON	456	20	442.29
FFSU	NY	36800	432	62	2018	1	36800043262	PSEUDOEPHE			
MCOU	NY	65862	18	1	2018	1	65862001801	CEPHALEXIN	"6,873"	244	607.5
FFSU	NY	93	3123	1	2018	1	93312301	DICLOXACIL			
MCOU	NY	591	2927	54	2018	1	591292754	LEVALBUTER	"21,900"	"1,390"	"72,004.06"
MCOU	NY	51991	818	5	2018	1	51991081805	PROPRANOLO			
MCOU	NY	67253	148	46	2018	1	67253014846	AMOXICILLI	"13,950"	90	322.6
MCOU	NY	52565	17	60	2018	1	52565001760	FLURANDREN			
FFSU	NY	51991	644	5	2018	1	51991064405	OMEPRAZOLE			
FFSU	NY	63323	374	20	2018	1	63323037420	ONDANSETRO	94	35	32.5
MCOU	NY	65862	158	1	2018	1	65862015801	CARISOPROD			
